,team,total_shots,onTarget,goals,xG_total,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,recoveries,recoveries_f3,duels_won,fouls_committed,shots_against,shots_onTarget_against,xGA,goals_against,clean_sheets,ppda,total_passes,f3_passes,short_passes,long_passes,average_pass_length,crosses,ranking,points_per_match,groups
62,Real Betis,405,127,34,39.8616292637,8.395061728395062,26.77165354330709,0.098423775959753,1832,391,464,597,531,183,55.6544533862,51,12,14.525473719569492,16540,1935,8842,2521,19.881838330866216,398,10,1.18,2
63,FC Köln,404,155,38,41.4433116557,9.405940594059404,24.516129032258064,0.1025824545933168,1479,291,369,500,485,162,41.7555164361,42,8,19.02010456143242,15026,1946,7655,2464,21.986918519132765,394,9,1.26,2
64,Newcastle United,404,150,43,40.665337452,10.643564356435643,28.666666666666668,0.1006567758712871,1833,363,498,495,558,181,56.3059680077,63,8,14.66316015251835,16799,1998,8767,2535,20.270288845287144,475,18,0.97,4
65,Espanyol,399,146,38,44.5617739368,9.523809523809524,26.02739726027397,0.1116836439518797,1685,354,492,765,497,181,53.6415535731,72,7,12.442267573463598,16128,2098,8337,2637,20.63223140710117,430,13,1.13,3
66,West Bromwich Albion,396,103,32,38.6267824366,8.080808080808081,31.06796116504854,0.097542379890404,1852,385,385,464,557,158,48.6980629889,45,11,15.188266100876293,13971,2343,5947,2935,22.577374549710385,462,14,1.13,3
67,Bologna,395,114,33,32.3463905895,8.354430379746836,28.94736842105264,0.0818895964291139,1907,413,449,585,487,157,51.6072931076,45,13,16.079886544006943,17594,2146,9911,2479,19.89930582621869,364,14,1.11,3
68,Aston Villa,392,113,25,29.5810166938,6.377551020408164,22.12389380530973,0.075461777280102,1842,379,462,499,507,186,59.6440671942,72,6,18.55217129791433,17168,2027,9262,2508,20.174681423913967,486,20,0.45,4
69,Hoffenheim,382,137,39,41.2047417372,10.209424083769632,28.46715328467153,0.1078658160659686,1546,321,339,541,545,203,56.1479535925,51,6,16.36444457223568,15214,1878,8481,2205,20.67250233552692,320,15,1.09,3
70,FSV Mainz 05,381,146,46,44.6510712279,12.073490813648291,31.506849315068493,0.1171944126716535,1644,311,385,586,465,161,48.3743091504,41,9,14.108691821057064,14896,1871,7408,2478,21.46255838012605,302,6,1.47,2
71,Sporting Gijón,380,118,39,40.9856688272,10.263157894736842,33.05084745762712,0.1078570232294736,1768,347,469,637,546,205,58.2831013148,61,7,14.71952825075797,15681,2102,7980,2733,21.300083758110755,484,17,1.03,4
72,Hannover 96,379,125,30,31.6425541316,7.9155672823219,24.0,0.0834895887377308,1611,350,350,570,504,206,61.609897531,61,5,17.921968209025437,14834,1965,7601,2244,20.02537302267719,330,18,0.74,4
73,Hamburger SV,375,130,37,37.7301255119,9.866666666666667,28.46153846153846,0.1006136680317333,1690,314,421,629,467,171,46.5797046487,44,9,14.35757627154003,15534,1992,7753,2492,20.96814147417836,316,10,1.21,2
74,Eintracht Frankfurt,364,128,32,33.6446402765,8.791208791208792,25.0,0.092430330429945,1679,357,401,589,431,173,53.3480105839,52,8,14.506134551722786,15431,1915,8060,2410,20.244928338859992,425,16,1.06,4
75,Darmstadt 98,347,114,38,36.5811589458,10.95100864553314,33.33333333333333,0.1054212073365994,1489,383,365,615,501,154,50.8028198747,50,8,14.103313859602553,9549,2207,2770,2634,24.371303839208323,338,14,1.12,3
76,Villarreal,347,129,42,37.0719174155,12.103746397694524,32.55813953488372,0.1068354968746397,1726,333,418,613,461,135,39.891905242,34,17,14.63058019981886,17546,2038,9808,2264,19.88160717361316,342,4,1.68,1
77,Hertha Berlin,330,124,41,36.3240973433,12.424242424242424,33.064516129032256,0.1100730222524242,1479,296,351,520,430,144,42.5199736649,42,13,15.903727546609082,16959,1695,9541,2218,20.710606681196527,360,7,1.47,2
